,Subject ID,Extroversion,Agreeableness,Conscientiousness,Emotional Stability,Openness (Creativity)
1,1,5.4,5.9,5.2,5.1,5.2
2,2,3,5.1,4.3,3.7,4.6
3,3,3.9,5.4,4.4,4.8,3.9
4,4,2.9,4.1,5.6,5.7,4
5,5,3.2,4.8,6.1,5.7,4.7
6,6,3.5,4.9,5.4,3.9,4.9
7,7,5.5,5.4,5,4.3,5.4
8,8,3.1,5.9,4.6,4.4,4.8
9,9,5.9,4.7,3.9,3,4.9
10,10,4.9,5.6,5.9,4,5.4
11,11,6.2,5.9,4.8,4.7,5.5
12,12,5.8,6.7,6.9,4.8,6.5
13,13,5.6,5.3,5.7,4,3.8
14,14,4.1,5.5,3.9,3.8,5
15,15,3,3.2,6.1,2.7,5.1
16,16,4,5.7,5,4,5.8
17,17,3.1,5.1,3.4,4.1,3.9
18,18,4.5,4.6,5.3,3.7,4.1
19,19,5.5,5.3,4.5,3.8,5.7
20,20,5.2,6.6,6.4,5.4,4.7
21,21,4.2,6,5.6,4.9,4.6
22,22,4.4,5.5,5.4,3,5.4
23,23,2.9,4.3,5.1,5.2,4.8
24,24,5.4,3.9,5.6,4.6,5
25,25,2.7,5.9,6.1,4.9,4.7
26,26,3.3,4.9,3.8,4.6,4.7
27,27,3,3.5,5.9,3.8,5
28,28,3.3,5.1,4.1,5.1,4.9
29,29,4.9,5,4.9,2.8,5
30,30,3.6,5.4,5.5,5,4.4
31,31,3.9,4.3,6.3,4.4,4.3
32,32,4.5,5.3,5.2,4.3,5
33,33,3.1,3.8,4.7,4.1,4.3
34,34,2.6,4.1,5.7,3.3,3.7
35,35,5.1,5.9,5.1,3.5,4.6
36,36,2.8,3.8,3.5,2.5,4.8
37,43,5.7,4.6,4.8,4.5,4.7
38,45,4.1,4.5,4.3,2.7,5.6
39,46,4.5,5,4.5,4.8,4.8
40,47,6.1,4.3,5.3,2,5.7
41,48,5.6,5.5,6.5,2.6,4.9
42,49,5.1,6,4.8,3.3,5.5
43,51,5.1,4.7,4.6,3.3,4.6
44,52,5.1,6.1,6,4.9,5.3
45,53,3.3,5.7,5.8,5.7,4.9
46,54,4.9,5,4.7,2.5,4.8
47,55,2.6,4.3,4.2,2.8,4.3
48,56,3.9,5.5,5.7,4.1,5.2
49,58,3.9,4.5,5.4,4.3,4.8
50,59,5,5.4,5.7,4.9,4.7
51,60,4.8,5.1,5.4,3.8,5.3
52,61,5.3,5.1,5.2,3.4,6.5
53,62,5.9,4.4,4.9,5,4.8
54,63,3.2,5.7,5.2,5.5,5.4
55,64,2.9,4.4,4,4.1,6.5
56,65,4.6,5.3,5.4,5.2,5.1
57,66,5.6,5.3,6,4.4,4.2
58,67,4.6,6.5,5.1,4.6,6.6
